threshold,accuracy,precision,recall,f1
0.0,0.42893741612785163,0.42893741612785163,1.0,0.6003585759412619
0.00010001000100010001,0.4290594119799927,0.4289897510980966,1.0,0.6004098360655737
0.00020002000200020003,0.4290594119799927,0.4289897510980966,1.0,0.6004098360655737
0.00030003000300030005,0.4290594119799927,0.4289897510980966,1.0,0.6004098360655737
0.00040004000400040005,0.42893741612785163,0.42892007321537523,0.9997155858930603,0.600290325335155
0.0005000500050005,0.4288154202757106,0.4288503783256041,0.9994311717861206,0.6001707941929975
0.0006000600060006001,0.4288154202757106,0.4288503783256041,0.9994311717861206,0.6001707941929975
0.0007000700070007,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0008000800080008001,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0009000900090009002,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.001000100010001,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0011001100110011,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0012001200120012002,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0013001300130013002,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0014001400140014,0.42893741612785163,0.42890272183571343,0.9994311717861206,0.6002220514134426
0.0015001500150015003,0.4290594119799927,0.428955078125,0.9994311717861206,0.6002733173898189
0.0016001600160016002,0.4290594119799927,0.428955078125,0.9994311717861206,0.6002733173898189
0.0017001700170017002,0.4290594119799927,0.428955078125,0.9994311717861206,0.6002733173898189
0.0018001800180018003,0.4291814078321337,0.4290074471981443,0.9994311717861206,0.6003245921243701
0.0019001900190019003,0.4291814078321337,0.4290074471981443,0.9994311717861206,0.6003245921243701
0.002000200020002,0.4291814078321337,0.4290074471981443,0.9994311717861206,0.6003245921243701
0.0021002100210021,0.4294253995364158,0.4291122237147393,0.9994311717861206,0.6004271678769757
0.0022002200220022,0.4296693912406978,0.42921705142298766,0.9994311717861206,0.600529778689225
0.0023002300230023005,0.4296693912406978,0.42921705142298766,0.9994311717861206,0.600529778689225
0.0024002400240024004,0.4297913870928388,0.4292694844857073,0.9994311717861206,0.6005810972483336
0.0025002500250025004,0.4297913870928388,0.4292694844857073,0.9994311717861206,0.6005810972483336
0.0026002600260026003,0.4297913870928388,0.4292694844857073,0.9994311717861206,0.6005810972483336
0.0027002700270027003,0.4297913870928388,0.4292694844857073,0.9994311717861206,0.6005810972483336
0.0028002800280028,0.4299133829449799,0.4293219303604154,0.9994311717861206,0.6006324245790958
0.0029002900290029006,0.4299133829449799,0.4293219303604154,0.9994311717861206,0.6006324245790958
0.0030003000300030005,0.4300353787971209,0.4293743890518084,0.9994311717861206,0.6006837606837607
0.0031003100310031005,0.4300353787971209,0.4293743890518084,0.9994311717861206,0.6006837606837607
0.0032003200320032004,0.4300353787971209,0.4293743890518084,0.9994311717861206,0.6006837606837607
0.0033003300330033004,0.4300353787971209,0.4293743890518084,0.9994311717861206,0.6006837606837607
0.0034003400340034003,0.4300353787971209,0.4293743890518084,0.9994311717861206,0.6006837606837607
0.0035003500350035003,0.4300353787971209,0.4293743890518084,0.9994311717861206,0.6006837606837607
0.0036003600360036006,0.4299133829449799,0.4293046559941342,0.9991467576791809,0.6005641507821181
0.0037003700370037006,0.4300353787971209,0.4293571253972134,0.9991467576791809,0.6006154898273209
0.0038003800380038005,0.43027937050140297,0.42946210268948654,0.9991467576791809,0.600718194254446
0.0039003900390039005,0.43027937050140297,0.42946210268948654,0.9991467576791809,0.600718194254446
0.004000400040004,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.004100410041004101,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.0042004200420042,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.004300430043004301,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.0044004400440044,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.004500450045004501,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.004600460046004601,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.0047004700470047005,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.004800480048004801,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.0049004900490049,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.005000500050005001,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.0051005100510051,0.430401366353544,0.42951461058809143,0.9991467576791809,0.6007695596408722
0.005200520052005201,0.430523362205685,0.42956713132795304,0.9991467576791809,0.6008209338122114
0.005300530053005301,0.430523362205685,0.4295499021526419,0.9988623435722411,0.6007526513855628
0.0054005400540054005,0.430523362205685,0.4295499021526419,0.9988623435722411,0.6007526513855628
0.005500550055005501,0.430523362205685,0.4295499021526419,0.9988623435722411,0.6007526513855628
0.0056005600560056,0.430523362205685,0.4295499021526419,0.9988623435722411,0.6007526513855628
0.005700570057005701,0.43064535805782606,0.4296024464831804,0.9988623435722411,0.6008040372936447
0.005800580058005801,0.43064535805782606,0.4296024464831804,0.9988623435722411,0.6008040372936447
0.005900590059005901,0.4308893497621081,0.4297075737183409,0.9988623435722411,0.6009068354863547
0.006000600060006001,0.4308893497621081,0.4297075737183409,0.9988623435722411,0.6009068354863547
0.006100610061006101,0.43076735390996707,0.429637787567303,0.9985779294653014,0.6007871321013005
